Train Acc,Test Acc,Train Loss,Test Loss
41.236,49.3,1.5806875032232242,1.4218870597839355
58.35,63.25,1.1593397641578294,1.0346638560295105
63.824,63.91,1.0088833174894534,1.0175452243328094
67.288,67.14,0.9193473016971823,0.9206306173324585
69.866,71.31,0.8529129267653541,0.8132568672180176
71.792,72.23,0.8029634352306576,0.7955643215656281
73.262,73.55,0.7648859279006338,0.7702888046264649
74.322,75.93,0.733638881455602,0.6939533124923706
77.87,78.34,0.6372230340681417,0.6273362524032593
78.322,78.18,0.621148531927782,0.6217432844161987
78.606,78.78,0.61644884639079,0.6141001741409302
78.886,78.91,0.607915709619327,0.6149875076293946
79.166,78.69,0.6001622187512,0.6161805103302002
79.404,79.02,0.5913011030772762,0.6109158575057984
79.524,79.0,0.5919675486700614,0.6118712118625641
79.404,79.22,0.590965244509375,0.6061446455955506
79.92,79.15,0.5798199013294771,0.6012665079116821
80.174,79.57,0.5716894400851501,0.5959759191513061
79.886,79.39,0.5755656639404614,0.5981449712753296
80.272,79.39,0.5701536133008844,0.6026802792549133
