Train Acc,Test Acc,Train Loss,Test Loss
26.51,40.16,1.928970601095263,1.6226546268463136
42.434,49.48,1.5614335864706113,1.367205174446106
50.714,51.59,1.3453435101320066,1.3305359439849853
55.87,59.58,1.2166589833129093,1.113640096282959
59.49,62.42,1.1234309007901975,1.0503658531188964
62.016,64.01,1.0531867823332473,1.0183908498764038
64.486,65.9,0.9931581582102325,0.9410958740234375
70.068,70.0,0.8426749406720672,0.829510938167572
70.682,70.52,0.8206255400882048,0.8214312835693359
71.314,70.68,0.8063541421347566,0.8183544966697693
71.652,71.35,0.7981682968566485,0.8069934361457825
72.122,71.42,0.7863939194880483,0.7945817409515381
72.394,71.98,0.7762134628908713,0.7805135788917541
72.752,72.14,0.7665257506510791,0.781203113937378
73.928,72.57,0.739996492824591,0.7652108171463012
73.824,72.64,0.7393720470883353,0.7652622923851014
73.824,72.6,0.7379777404429663,0.764389701461792
73.946,72.7,0.7346688115307133,0.763821098279953
74.092,72.68,0.7335561284476229,0.7630349312782287
74.168,72.79,0.7308557368910221,0.7623088573455811
