Train Acc,Test Acc,Train Loss,Test Loss
26.416,38.26,1.9320488642243778,1.636768949508667
42.6,51.2,1.5537426296402426,1.3132488817214967
51.88,54.41,1.3202735591117682,1.2760618682861329
57.382,61.16,1.1789629441850327,1.0817725814819337
61.658,65.26,1.0731419693021214,0.9731161262512207
64.414,68.47,0.9931257066062039,0.8967813167572022
66.794,68.72,0.931385136168936,0.8733993656158447
72.506,72.54,0.7804713849826237,0.7742412320137024
73.354,72.77,0.7569347809418998,0.7675884321212768
73.53,72.7,0.7454829878743042,0.7706648180007935
73.768,73.8,0.7368188753838429,0.7576221454620361
74.556,73.26,0.7239410268223804,0.7530127826690673
74.746,73.56,0.7157417971764684,0.7471994916915894
74.892,74.19,0.7102060790180855,0.7316902956962585
76.026,74.52,0.6845643849247862,0.7233357709884644
75.858,74.52,0.6825117219591994,0.7229697026252747
76.202,74.82,0.6814062884244163,0.7216689603805542
76.28,74.7,0.6785898986070052,0.7208387816905976
76.26,74.8,0.6760208397493948,0.7209829646110535
76.18,74.84,0.6762857379968209,0.7205557476043701
