Train Acc,Test Acc,Train Loss,Test Loss
38.802,42.06,1.6504255654860516,1.872404510498047
57.948,61.62,1.1608144026629779,1.1258670349121094
67.568,63.35,0.9134172991830476,1.2246100067138672
73.942,66.14,0.737257076769459,1.082397787475586
78.004,73.54,0.6349232129904688,0.8078348205566406
80.998,70.76,0.5463285075158489,1.0120980865478515
83.7,73.23,0.4689027594060314,0.9157127105712891
86.148,78.06,0.40052023469185344,0.6932120895385743
87.572,80.02,0.3568862758728923,0.65108642578125
89.114,82.27,0.31332001956749933,0.5692905853271485
90.278,83.8,0.2784508103314711,0.5054939590454102
91.838,83.44,0.23620202620418704,0.531590299987793
92.388,86.61,0.21569404614214993,0.4312977195739746
93.774,87.17,0.17862766715032713,0.4319047607421875
94.546,86.34,0.15349227273646665,0.49042637023925784
95.836,88.12,0.12063932213552143,0.4229587127685547
96.78,88.32,0.09426786818978738,0.4181315170288086
97.584,90.49,0.07329925894737244,0.3492043930053711
98.378,90.9,0.05193341333343058,0.34461020736694337
98.928,91.26,0.036700082258606444,0.3400578666687012
