Train Acc,Test Acc,Train Loss,Test Loss
39.972,52.74,1.6089789324709216,1.2578180990219117
59.252,64.48,1.132923521425413,1.0199939338684083
67.658,71.6,0.9107323270624555,0.8183464051246643
72.498,76.59,0.7790918183677337,0.675061191368103
75.866,77.12,0.6918991933317136,0.6567243574619294
77.458,78.52,0.6441539682619407,0.6361767963409424
79.148,80.76,0.5990311176804326,0.5647784762382507
80.388,81.51,0.5648812114277764,0.5477689987182617
83.914,84.11,0.46377053077492264,0.45719954702854154
84.672,84.28,0.44410462031507736,0.4581529809951782
85.112,84.68,0.4310394676445085,0.45162843074798587
85.174,84.8,0.4256588988901709,0.446178889465332
85.51,85.2,0.41897485332796947,0.44370438232421877
85.656,84.85,0.41377561796656653,0.4420132869720459
86.002,84.91,0.40384043210074116,0.44752891087532043
86.138,85.42,0.3994874708602191,0.44070997676849366
86.698,85.39,0.3850503573599069,0.43953721466064455
86.41,85.33,0.3905534107438134,0.43460487747192383
86.752,85.44,0.38360470382834944,0.43584879961013795
86.822,85.36,0.3864889030947405,0.43665731582641604
86.702,85.45,0.38057259235845503,0.43455322551727293
86.696,85.53,0.3866992466285101,0.43438424043655394
86.838,85.39,0.381565672262093,0.4331464445352554
86.828,85.47,0.37833521919101093,0.43209872455596926
86.746,85.43,0.3811867779211315,0.4355184329986572
